Country,AP,AM,DB,TP,Continent,AV,Helicopters,NS,RP,Tanks,TAS
Afghanistan,0,14611901,99050000,37466414,Asia,530,0,0,0,0,0
Albania,8000,1513309,192400000,3088385,Europe,76,19,19,0,0,19
Algeria,130000,20916812,9700000000,43576691,Africa,6461,268,201,135000,2196,552
Angola,107000,6728529,1059270000,33642646,Africa,1210,117,40,0,320,299
Argentina,83000,20180574,3064800000,45864941,South America,800,85,47,0,349,218
Armenia,45000,1686501,632500000,3011609,Europe,673,36,0,210000,288,64
Australia,59000,10840189,44618000000,25809973,Oceania,1765,133,43,20000,59,430
Austria,23000,3998189,3432000000,8884864,Europe,542,63,0,160000,56,102
Azerbaijan,65000,5038319,1700000000,10282283,Europe,1762,87,24,300000,510,149
Bahrain,10000,824542,1538800000,1526929,Asia,833,51,48,0,180,110
Bangladesh,165000,80408421,3890400000,164098818,Asia,837,66,112,0,320,190
Belarus,45000,5004176,723120000,9441842,Europe,1510,62,0,290000,601,201
Belgium,26000,4829325,5513710000,11778842,Europe,854,20,17,7000,0,115
Bhutan,8000,197207,28908000,857423,Asia,27,2,0,0,0,2
Bolivia,50000,5173902,476970000,11758869,South America,152,28,170,0,36,63
Bosnia and Herzegovina,9000,2371365,178110000,3824782,Europe,332,19,0,0,320,19
Botswana,9000,987280,473400000,2350667,Africa,223,16,0,0,45,46
Brazil,360000,108857163,18785000000,213445417,South America,1958,179,112,1340000,439,679
Bulgaria,30000,3252015,1105760000,6919180,Europe,594,22,29,3000,410,66
Burkina Faso,12000,7911584,434250000,21382659,Africa,265,10,0,0,0,18
Cambodia,100000,8306094,632250000,17304363,Asia,449,19,27,0,539,23
Cameroon,40000,9698220,398000000,28524175,Africa,253,17,60,0,0,31
Canada,70000,16315589,23550574382,37943231,North America,1534,118,61,19000,82,380
Central African Rep.,10000,2089614,41454000,5357984,Africa,89,1,0,0,3,3
Chad,30000,6269079,292610000,17414108,Africa,691,16,0,0,90,35
Chile,80000,8787804,5058000000,18307925,South America,1063,78,133,40000,270,290
China,2000000,754864769,2.50E+11,1397897720,Asia,35000,912,777,510000,5250,3285
Colombia,295000,24674269,8139000000,50355650,South America,483,211,450,35000,0,454
Croatia,15000,2062397,2100000000,4208973,Europe,650,40,34,20000,72,78
Cuba,50000,5957465,2989900000,11032343,North America,1570,14,19,40000,1230,80
Czechia,26000,5030220,3262900000,10702596,Europe,692,44,0,0,116,92
Dem. Rep. Congo,100000,35715180,299220000,105044646,Africa,201,32,16,0,212,46
Denmark,16000,2593662,3993096624,5894687,Europe,997,34,74,45500,44,115
Dominican Republic,60000,4874780,630720000,10597348,North America,35,33,34,0,10,65
Ecuador,40000,7862853,2272630000,17093159,South America,698,41,30,120000,252,113
Egypt,450000,43639269,4357200000,106437241,Africa,10000,313,245,480000,4394,1062
El Salvador,21000,3133505,295680000,6528135,North America,125,29,4,10000,0,47
Eritrea,175000,2151589,105315000,6147398,Africa,200,13,20,200000,300,33
Estonia,6500,597821,713690000,1220042,Europe,180,0,6,12000,0,6
Ethiopia,150000,53218095,538000000,110871031,Africa,110,32,0,0,340,90
Finland,23000,2290851,2669733900,5587442,Europe,2090,20,246,280000,200,192
France,205000,29957055,40900000000,68084217,Europe,6558,435,180,35000,406,1055
Gabon,6500,868267,280620000,2284912,Africa,150,15,10,0,0,23
Georgia,25000,2762857,286020000,4933674,Europe,554,38,44,0,143,66
Germany,184000,36755601,50300000000,79903481,Europe,9217,287,80,15000,266,617
Ghana,14000,13920342,289400000,32372889,Africa,343,11,20,0,0,20
Greece,130000,4967760,6600000000,10569703,Europe,6134,270,120,220500,1243,633
Guatemala,21500,7143357,388000000,17422821,North America,140,17,25,65000,0,33
Honduras,16000,4112362,405110000,9346277,North America,92,10,55,60000,19,44
Hungary,23000,4572318,3263999300,9728337,Europe,510,33,0,20000,176,55
India,1450000,629485342,49600000000,1339330514,Asia,12000,805,295,1155000,4614,2182
Indonesia,400000,134809844,9300000000,275122131,Asia,1444,172,296,400000,314,445
